,StationFront,Year,Tmean,Smean,Lmean,Tmin,Smin,Lmin,Tmax,Smax,Lmax,Tsd,Ssd,Lsd,Counts,SpecCode,Cover,Latitude,Longitude
5026,CRMS0253,2011,25.78589474,5.223238678,-0.147608323,4.5,1.19,-1.1,34.81,14.44,1.42,5.161753921,2.875711974,0.393887408,4085,Aaustralis,0.002,29.55589,-90.07299
5038,CRMS0253,2012,25.42067395,3.671201487,-0.015526377,7.21,0.47,-1.09,34.58,13.12,1.46,5.105834291,3.001500612,0.421276199,4303,Aaustralis,0.001,29.55589,-90.07299
5046,CRMS0253,2013,23.77604072,2.395868263,-0.019097006,10.09,0.41,-1.1,34.7,10.63,1.24,6.011494493,1.885311253,0.427982166,4175,Aaustralis,0.005,29.55589,-90.07299
5058,CRMS0253,2015,25.55692557,2.466948052,-0.224021229,6.66,0.4,-1.059,36.52,11.48,0.969,6.00746819,2.249399959,0.416661361,4004,Aaustralis,0.008,29.55589,-90.07299
5078,CRMS0253,2017,25.32617513,3.491614145,-0.034100072,13.61,0.45,-1.065,35.87,13.58,2.388,4.482125708,2.458109395,0.523222122,4157,Aaustralis,0.001,29.55589,-90.07299
5082,CRMS0258,2008,25.15393773,2.566293498,0.109739011,7.7,0.3,-1.2,35.87,14.37,1.48,5.548628195,2.805520299,0.456773639,4368,Aaustralis,0.015,29.52686,-89.82298
5129,CRMS0260,2008,24.8163414,2.038268817,0.002790323,7.74,0.24,-1.49,34.35,10.96,1.28,6.107092807,2.031522479,0.444326318,3720,Aaustralis,0.06,29.53411,-89.85423
5132,CRMS0260,2009,24.44310583,6.77611252,-0.040617939,5.88,0.54,-1.99,37.03,16.17,1.68,6.093915714,4.416545989,0.503751595,4337,Aaustralis,0.029,29.53411,-89.85423
5142,CRMS0260,2010,23.59471794,3.839125029,-0.069749021,3.29,0.43,-1.59,35.8,10.82,1.78,7.740105219,2.452132297,0.573808546,4343,Aaustralis,0.032,29.53411,-89.85423
5152,CRMS0260,2011,24.66682558,9.690059004,-0.098324286,3.37,2.15,-1.89,34.9,16.79,1.82,6.417717214,3.10629737,0.508609471,4237,Aaustralis,0.022,29.53411,-89.85423
